LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
h_func_val =  strength*np.exp(-(deltak[:,0]**2 + deltak[:,1]**2)/(spread**2))
cost,Tzmultvalue,invtau_iso,strength,spread
21.763678505384586,0.030000014901161193,5.0,6.0,0.2
21.76399343520694,0.03,5.000000014901161,6.0,0.2
21.763993458285885,0.03,5.0,6.000000014901161,0.2
21.764004568205014,0.03,5.0,6.0,0.2000000149011612
817.544089999804,1.0393352652357508,4.999098934962924,5.999024902003099,0.16338634657436718
817.4440433030358,1.039335280136912,4.999098934962924,5.999024902003099,0.16338634657436718
817.5440899992236,1.0393352652357508,4.999098949864085,5.999024902003099,0.16338634657436718
817.5440899915479,1.0393352652357508,4.999098934962924,5.99902491690426,0.16338634657436718
817.5440894492369,1.0393352652357508,4.999098934962924,5.999024902003099,0.16338636147552837
2.8101862500475225,0.03158249145254234,4.999998587260578,5.999998471187624,0.19994259509640847
2.8101254223379017,0.031582506353703535,4.999998587260578,5.999998471187624,0.19994259509640847
2.810186295998441,0.03158249145254234,4.999998602161739,5.999998471187624,0.19994259509640847
2.810186308019409,0.03158249145254234,4.999998587260578,5.999998486088785,0.19994259509640847
2.810188338431077,0.03158249145254234,4.999998587260578,5.999998471187624,0.19994260999756966
686.192838726902,0.17216761682061277,5.269924238974829,6.025487840160421,4.01489029886805
686.1928614454949,0.17216763172177396,5.269924238974829,6.025487840160421,4.01489029886805
686.1928386675748,0.17216761682061277,5.26992425387599,6.025487840160421,4.01489029886805
686.1928384749208,0.17216761682061277,5.269924238974829,6.0254878550615825,4.01489029886805
686.192838704997,0.17216761682061277,5.269924238974829,6.025487840160421,4.014890313769211
2.1949305809176423,0.03299790113942398,5.002716196119793,6.000255097908709,0.23835145179962
2.194872253192617,0.032997916040585176,5.002716196119793,6.000255097908709,0.23835145179962
2.1949306284764076,0.03299790113942398,5.002716211020954,6.000255097908709,0.23835145179962
2.194930647853948,0.03299790113942398,5.002716196119793,6.00025511280987,0.23835145179962
2.1949324036754208,0.03299790113942398,5.002716196119793,6.000255097908709,0.2383514667007812
0.47355564557984764,0.03588567389408193,5.008260765225258,6.000778677519713,0.316714664198894
0.4735466498905737,0.03588568879524313,5.008260765225258,6.000778677519713,0.316714664198894
0.47355565117110027,0.03588567389408193,5.008260780126419,6.000778677519713,0.316714664198894
0.473555657416936,0.03588567389408193,5.008260765225258,6.000778692420874,0.316714664198894
0.4735558073176203,0.03588567389408193,5.008260765225258,6.000778677519713,0.3167146791000552
481.85969815141215,0.10402664535734735,5.139092502100044,6.013133258840067,2.165802481533472
481.8597897210959,0.10402666025850854,5.139092502100044,6.013133258840067,2.165802481533472
481.85969802076863,0.10402664535734735,5.139092517001205,6.013133258840067,2.165802481533472
481.8596975611944,0.10402664535734735,5.139092502100044,6.013133273741229,2.165802481533472
481.859697838558,0.10402664535734735,5.139092502100044,6.013133258840067,2.165802496434633
0.368665342691676,0.03653679343904687,5.009510924991865,6.000896731448131,0.33438358192003576
0.3686718944701367,0.03653680834020807,5.009510924991865,6.000896731448131,0.33438358192003576
0.36866533446209077,0.03653679343904687,5.009510939893026,6.000896731448131,0.33438358192003576
0.36866533040950444,0.03653679343904687,5.009510924991865,6.000896746349293,0.33438358192003576
0.36866510150244897,0.03653679343904687,5.009510924991865,6.000896731448131,0.33438359682119695
0.21559691008424822,0.0379289088463048,5.154709247563994,6.400052884565394,0.35921011763702054
0.21560014548249784,0.037928923747465995,5.154709247563994,6.400052884565394,0.35921011763702054
0.21559690606258064,0.0379289088463048,5.154709262465155,6.400052884565394,0.35921011763702054
0.21559690372295542,0.0379289088463048,5.154709247563994,6.400052899466555,0.35921011763702054
0.21559678636683413,0.0379289088463048,5.154709247563994,6.400052884565394,0.35921013253818174
0.25172240147741887,0.040698253848117275,5.289342320345334,6.964697746002658,0.4185009188394624
0.251740999744275,0.04069826874927847,5.289342320345334,6.964697746002658,0.4185009188394624
0.2517223853732646,0.040698253848117275,5.289342335246495,6.964697746002658,0.4185009188394624
0.2517223685754563,0.040698253848117275,5.289342320345334,6.964697760903819,0.4185009188394624
0.2517219379790541,0.040698253848117275,5.289342320345334,6.964697746002658,0.4185009337406236
0.18267788197742793,0.039023979551904696,5.207946649877989,6.623328080116248,0.38265523533302714
0.18268727597275045,0.03902399445306589,5.207946649877989,6.623328080116248,0.38265523533302714
0.18267787306236347,0.039023979551904696,5.207946664779151,6.623328080116248,0.38265523533302714
0.18267786540841127,0.039023979551904696,5.207946649877989,6.623328095017409,0.38265523533302714
0.18267762115829178,0.039023979551904696,5.207946649877989,6.623328080116248,0.38265525023418834
